# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\ece385\lab6\work\lab6_toplevel.csv
# Generated on: Thu Mar 23 11:14:44 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Data[1],Bidir,PIN_AF4,3,B3_N2,PIN_AF4,2.5 V,,,,,
Data[0],Bidir,PIN_AH3,3,B3_N2,PIN_AH3,2.5 V,,,,,
HEX0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
HEX0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
HEX0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
HEX2[6],Output,PIN_W28,5,B5_N1,PIN_W28,2.5 V,,,,,
HEX2[5],Output,PIN_W27,5,B5_N1,PIN_W27,2.5 V,,,,,
HEX2[4],Output,PIN_Y26,5,B5_N1,PIN_Y26,2.5 V,,,,,
HEX2[3],Output,PIN_W26,5,B5_N1,PIN_W26,2.5 V,,,,,
HEX2[2],Output,PIN_Y25,5,B5_N1,PIN_Y25,2.5 V,,,,,
HEX2[1],Output,PIN_AA26,5,B5_N1,PIN_AA26,2.5 V,,,,,
HEX2[0],Output,PIN_AA25,5,B5_N1,PIN_AA25,2.5 V,,,,,
HEX3[6],Output,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
HEX3[5],Output,PIN_AF23,4,B4_N0,PIN_AF23,2.5 V,,,,,
HEX3[4],Output,PIN_AD24,4,B4_N0,PIN_AD24,2.5 V,,,,,
HEX3[3],Output,PIN_AA21,4,B4_N0,PIN_AA21,2.5 V,,,,,
HEX3[2],Output,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
HEX3[1],Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
HEX3[0],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
HEX4[6],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
HEX4[5],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
HEX4[4],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
HEX4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
HEX4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
HEX4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
HEX4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
HEX5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
HEX5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
HEX5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
HEX5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
HEX5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
HEX5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
HEX5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
HEX6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
HEX6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
HEX6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
HEX6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
HEX6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
HEX6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
HEX6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
HEX7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
HEX7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
HEX7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
HEX7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
HEX7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
HEX7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
HEX7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
LB,Output,PIN_AD4,3,B3_N2,PIN_AD4,2.5 V,,,,,
LED[11],Output,PIN_H16,7,B7_N2,PIN_H16,2.5 V,,,,,
LED[10],Output,PIN_J15,7,B7_N2,PIN_J15,2.5 V,,,,,
LED[9],Output,PIN_G17,7,B7_N1,PIN_G17,2.5 V,,,,,
LED[8],Output,PIN_J17,7,B7_N2,PIN_J17,2.5 V,,,,,
LED[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
LED[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
LED[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
LED[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
LED[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
LED[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
LED[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
LED[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
OE,Output,PIN_AD5,3,B3_N2,PIN_AD5,2.5 V,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
S[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
S[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
S[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
S[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
S[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
S[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
S[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
S[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
S[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
S[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
S[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
S[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
S[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
S[2],Input,PIN_AC27,5,B5_N2,PIN_AC27,2.5 V,,,,,
S[1],Input,PIN_AC28,5,B5_N2,PIN_AC28,2.5 V,,,,,
S[0],Input,PIN_AB28,5,B5_N1,PIN_AB28,2.5 V,,,,,
UB,Output,PIN_AC4,2,B2_N2,PIN_AC4,2.5 V,,,,,
WE,Output,PIN_AE8,3,B3_N1,PIN_AE8,2.5 V,,,,,
